696,-0.703079045,7.029169083,2.763509989,1.819038868,2.495504618,-7.971064568,-6.287698746,-5.577105045,-10.39204979,-2.939363956,-6.308656693,-6.342908859,-10.29559803,-6.856376648,-5.837089062,-0.732137918,-6.813905239,-4.704329491,-8.140636444,-3.628814459,-4.292756557
720,-2.013995886,9.785396576,3.043174267,1.964850903,3.208770752,-6.732329369,-6.220436096,-4.798141956,-11.22775936,-3.842858315,-6.259943008,-8.420565605,-10.96852779,-8.13149929,-6.450955868,-2.40177536,-6.757419586,-5.752787113,-8.262433052,-4.143665791,-4.202733994
744,-0.692809701,8.82796669,3.899491549,1.872490048,3.934154034,-4.659409523,-7.410006046,-4.684732914,-10.05536366,-4.84597826,-6.963069916,-8.743898392,-10.37714958,-10.26405334,-7.311168671,-3.542453289,-6.938759327,-7.892779827,-9.362725258,-4.230088234,-3.976444244
768,-0.951886296,9.642978668,3.865965605,1.727384329,4.302793503,-5.385697842,-6.275180817,-4.602457523,-7.137121201,-5.708254337,-7.147335529,-9.495078087,-8.134262085,-11.90113163,-9.428782463,-4.220032215,-7.313640118,-10.49687958,-9.263091087,-5.770299911,-3.754274845
792,-2.954037428,11.41728401,4.693771362,1.506141305,4.54323864,-5.059157372,-7.403820515,-3.846441984,-5.888979435,-5.421024799,-6.029560566,-10.28095913,-10.37182426,-8.737621307,-10.2599659,-5.293108463,-6.921692848,-11.65394783,-10.49376011,-5.639259338,-3.832329988
816,-3.589475632,10.78845692,5.92028141,1.393765688,4.402040958,-4.586718082,-8.063448906,-4.117019176,-4.989759445,-4.168963432,-5.471011639,-9.089840889,-9.241648674,-9.183051109,-10.1728611,-5.861559391,-7.175069809,-12.12731743,-10.82446289,-6.644750118,-3.83526969
840,-1.010316968,6.191734791,6.29007864,2.388357401,4.028930187,-4.165965557,-6.263872147,-5.619817257,-4.426905632,-5.030490875,-5.137356758,-8.741268158,-7.147949219,-8.761167526,-9.385529518,-7.029602528,-6.008652687,-12.03642941,-11.04249477,-7.708589077,-3.712424994
864,-4.271221161,8.358188629,6.483643532,2.582001448,3.433639765,-3.677803993,-8.279912949,-5.303864956,-3.558259726,-4.416266441,-5.548100471,-8.091698647,-3.581017971,-10.04848957,-9.967033386,-5.746923447,-6.768594742,-10.16498661,-10.80414963,-8.581874847,-3.420296192
888,-4.602180481,5.879282475,7.562088966,2.871943712,2.947683573,-3.366998196,-8.766044617,-4.589111328,-4.264992714,-4.82605505,-4.096578121,-8.313842773,-6.478425503,-9.116621971,-7.36414814,-5.552512646,-4.937077522,-8.965914726,-10.45568371,-9.193427086,-3.076320648
912,-4.75972414,4.114955425,8.042717934,3.181413412,2.126900911,-2.55589366,-8.842960358,-5.904626846,-3.66770649,-4.884661198,-3.783863068,-7.409153938,-6.002813339,-6.496463299,-9.386345863,-4.241470814,-5.412364006,-7.800325394,-10.25453663,-8.353113174,-3.287209034
936,-4.703677654,0.163674921,9.055788994,3.462064981,1.538222194,-2.9674263,-7.988291264,-5.709830284,-4.489561081,-4.911204338,-3.729734659,-6.653880119,-6.393768311,-6.323671341,-8.88184166,-4.832327843,-3.403550386,-7.82601881,-8.767539024,-7.238234043,-3.378158808
960,-2.920375347,-5.768987179,9.720124245,3.906325579,1.052859545,-2.175204277,-7.536860943,-5.103198051,-5.867765427,-3.634232759,-4.586205482,-4.865667343,-8.455838203,-6.047257423,-8.502429008,-5.415083408,-3.036390066,-6.414725304,-8.793542862,-6.761385441,-3.161596298
984,-3.179775,-8.006814003,9.980741501,4.26074791,0.596133947,-0.715936661,-7.454900742,-6.648206234,-4.390727043,-4.418460369,-4.369891644,-5.890534401,-7.803206921,-5.351915359,-8.270145416,-4.657598972,-3.472040892,-6.525759697,-7.656183243,-6.457989693,-3.700400352
1008,-6.24996233,-7.708110332,9.649871826,4.573643684,-0.038434226,-1.293559074,-4.205798149,-7.44870615,-6.208059311,-4.034946442,-4.259177685,-3.879763365,-9.626682281,-7.388130665,-5.937208176,-5.367350101,-3.093622684,-5.197497845,-7.447879314,-6.372835636,-3.474191666
1032,-7.26204586,-4.242909431,4.364138126,4.558465004,-0.243391052,-1.45058012,-3.929278135,-6.021010399,-6.149418831,-4.51003933,-4.486223221,-4.742673874,-7.600002766,-8.096898079,-5.762003422,-4.821990967,-4.061570644,-5.516166687,-6.562338829,-7.873101711,-2.932453156
1056,-6.321306229,-5.91612339,3.505396128,4.769661427,-0.327013373,-0.26712212,-4.414189816,-6.736629009,-6.547195435,-3.905940294,-4.295978546,-4.710715294,-8.287490845,-5.490214825,-6.34068346,-6.22139883,-3.537583113,-5.151334286,-5.200381756,-7.934568882,-3.542419672
1080,-7.28075695,-11.89058971,6.790932655,6.160301208,-0.350730717,-0.661092579,-3.505657434,-6.02964592,-6.729542732,-4.15368557,-4.296336174,-4.631873131,-8.319765091,-4.826677799,-7.687810421,-4.882875919,-4.533065796,-5.228838444,-5.567410469,-6.869246483,-3.364884138
1104,-6.506313801,-15.69872189,6.395344734,7.147513866,0.008443181,-0.467900664,-2.847046137,-5.174472809,-7.161337376,-4.765150547,-4.445899487,-2.999453068,-5.534964561,-10.69645023,-6.036213875,-6.126476288,-4.00589323,-3.569688559,-5.382678032,-7.083751678,-3.315916061
1128,-6.516600132,-10.33447552,-2.05604291,7.124328613,1.318848372,-0.220008165,-2.102275133,-5.718411922,-7.286599159,-4.480998993,-3.191823483,-4.106807709,-5.408772945,-8.905992508,-7.08359766,-5.969044685,-4.961582184,-3.657516718,-5.779258728,-6.162828922,-3.256381989
1152,-5.70457983,-18.01020432,5.37476778,6.721018314,1.595926881,-0.280355394,-2.984020472,-5.269217491,-6.486620903,-3.798932791,-4.037372589,-4.159310818,-5.005476952,-8.423927307,-6.776936054,-7.324139118,-5.084593773,-3.477018833,-5.738190174,-6.462327003,-3.380583525
